scholarship_id,scheme_name,provider,min_age,max_age,max_income,category,education_level,benefit_amount,deadline_date,application_link,documents_required,state,priority_score
289,Talent Scholarship 289,State Govt,14,25,100000.0,ST,UG,49534,2026-04-12,https://scholarships.gov.in/scheme/289,Bank Details; Marksheet,Delhi,0.234
290,Women Empowerment Scholarship 290,NGO,12,26,800000.0,ST,UG,21114,2026-06-02,https://scholarships.gov.in/scheme/290,Aadhaar; Caste Certificate,Delhi,0.091
291,Talent Scholarship 291,Central Govt,12,23,100000.0,SC,PG,28890,2026-09-10,https://scholarships.gov.in/scheme/291,Marksheet; Income Certificate; Aadhaar; Bank Details,Tamil Nadu,0.118
292,Excellence Scholarship 292,State Govt,16,21,500000.0,SC,School,14993,2026-04-07,https://scholarships.gov.in/scheme/292,Marksheet; Bank Details; Income Certificate,Maharashtra,0.127
293,Women Empowerment Scholarship 293,State Govt,14,27,800000.0,SC,PG,45732,2026-04-22,https://scholarships.gov.in/scheme/293,Bank Details; Aadhaar; Income Certificate; Caste Certificate,Maharashtra,0.202
294,Post Matric Scholarship 294,NGO,11,25,500000.0,All,School,41393,2026-09-15,https://scholarships.gov.in/scheme/294,Marksheet; Caste Certificate; Aadhaar,Delhi,0.168
295,Talent Scholarship 295,State Govt,12,20,100000.0,SC,School,56140,2026-06-07,https://scholarships.gov.in/scheme/295,Income Certificate; Bank Details; Marksheet; Aadhaar,Maharashtra,0.231
296,Rural Development Scholarship 296,NGO,15,21,350000.0,ST,UG,41438,2026-04-27,https://scholarships.gov.in/scheme/296,Caste Certificate; Aadhaar; Bank Details,Maharashtra,0.181
297,Post Matric Scholarship 297,NGO,13,31,800000.0,SC,UG,62557,2026-08-01,https://scholarships.gov.in/scheme/297,Aadhaar; Caste Certificate,Delhi,0.254
298,Talent Scholarship 298,State Govt,15,34,100000.0,SC,UG,69306,2026-05-25,https://scholarships.gov.in/scheme/298,Caste Certificate; Aadhaar; Marksheet,Delhi,0.285
299,Rural Development Scholarship 299,Private Trust,17,33,100000.0,General,PG,51013,2026-04-12,https://scholarships.gov.in/scheme/299,Caste Certificate; Marksheet,Delhi,0.24
300,Merit Scholarship 300,State Govt,12,14,350000.0,All,School,24225,2026-08-17,https://scholarships.gov.in/scheme/300,Income Certificate; Caste Certificate; Bank Details; Marksheet,Karnataka,0.1
301,Higher Education Scholarship 301,NGO,16,28,350000.0,ST,PG,23344,2026-09-26,https://scholarships.gov.in/scheme/301,Bank Details; Aadhaar; Marksheet,All India,0.096
302,Minority Scholarship 302,NGO,14,19,500000.0,ST,PG,96434,2026-07-13,https://scholarships.gov.in/scheme/302,Bank Details; Marksheet,Maharashtra,0.39
303,Post Matric Scholarship 303,State Govt,10,18,500000.0,OBC,School,78959,2026-06-19,https://scholarships.gov.in/scheme/303,Bank Details; Caste Certificate; Aadhaar,Delhi,0.321
304,Pre Matric Scholarship 304,Central Govt,16,31,100000.0,ST,School,43230,2026-06-28,https://scholarships.gov.in/scheme/304,Aadhaar; Bank Details; Income Certificate,All India,0.177
305,Higher Education Scholarship 305,Private Trust,12,16,350000.0,SC,PG,59506,2026-07-15,https://scholarships.gov.in/scheme/305,Marksheet; Bank Details; Aadhaar; Caste Certificate,Delhi,0.242
306,Talent Scholarship 306,NGO,13,20,250000.0,OBC,PG,37024,2026-08-30,https://scholarships.gov.in/scheme/306,Aadhaar; Marksheet,Karnataka,0.151
307,Talent Scholarship 307,NGO,14,18,250000.0,General,PG,6502,2026-09-18,https://scholarships.gov.in/scheme/307,Bank Details; Caste Certificate; Income Certificate; Marksheet,Delhi,0.028
308,Education Support Scholarship 308,Private Trust,11,15,100000.0,OBC,PG,5000,2026-06-08,https://scholarships.gov.in/scheme/308,Aadhaar; Income Certificate,Tamil Nadu,0.026
309,Post Matric Scholarship 309,State Govt,10,23,250000.0,ST,PG,5103,2026-05-02,https://scholarships.gov.in/scheme/309,Caste Certificate; Income Certificate; Marksheet,Karnataka,0.033
310,Women Empowerment Scholarship 310,Private Trust,10,28,250000.0,All,PG,116921,2026-07-07,https://scholarships.gov.in/scheme/310,Bank Details; Marksheet,Delhi,0.472
311,Pre Matric Scholarship 311,Private Trust,17,33,500000.0,General,School,88795,2026-08-14,https://scholarships.gov.in/scheme/311,Caste Certificate; Income Certificate,All India,0.358
312,Post Matric Scholarship 312,Private Trust,17,30,500000.0,ST,UG,5000,2026-04-29,https://scholarships.gov.in/scheme/312,Income Certificate; Aadhaar; Caste Certificate,Maharashtra,0.034
313,Merit Scholarship 313,Central Govt,12,33,100000.0,SC,UG,37307,2026-04-22,https://scholarships.gov.in/scheme/313,Aadhaar; Caste Certificate; Marksheet,Karnataka,0.168
314,Minority Scholarship 314,State Govt,13,34,350000.0,SC,PG,83203,2026-04-14,https://scholarships.gov.in/scheme/314,Aadhaar; Caste Certificate; Marksheet,Tamil Nadu,0.364
315,Women Empowerment Scholarship 315,NGO,17,27,100000.0,General,PG,53339,2026-07-31,https://scholarships.gov.in/scheme/315,Caste Certificate; Marksheet; Aadhaar,Karnataka,0.217
316,Merit Scholarship 316,Private Trust,17,26,350000.0,ST,PG,10139,2026-08-22,https://scholarships.gov.in/scheme/316,Bank Details; Aadhaar,Maharashtra,0.043
317,Women Empowerment Scholarship 317,State Govt,10,19,800000.0,All,UG,98884,2026-06-26,https://scholarships.gov.in/scheme/317,Marksheet; Aadhaar; Bank Details,Karnataka,0.4
318,Merit Scholarship 318,Central Govt,16,23,800000.0,General,School,28448,2026-05-07,https://scholarships.gov.in/scheme/318,Marksheet; Aadhaar; Caste Certificate; Income Certificate,Maharashtra,0.125
319,Rural Development Scholarship 319,Central Govt,14,16,350000.0,OBC,UG,68195,2026-05-16,https://scholarships.gov.in/scheme/319,Marksheet; Bank Details,All India,0.282
320,Talent Scholarship 320,State Govt,13,28,350000.0,All,UG,65380,2026-09-12,https://scholarships.gov.in/scheme/320,Aadhaar; Caste Certificate; Income Certificate; Bank Details,Maharashtra,0.264
321,Rural Development Scholarship 321,State Govt,17,24,250000.0,All,School,85101,2026-09-20,https://scholarships.gov.in/scheme/321,Bank Details; Caste Certificate; Income Certificate,Maharashtra,0.343
322,Post Matric Scholarship 322,State Govt,13,15,800000.0,ST,School,66320,2026-04-07,https://scholarships.gov.in/scheme/322,Aadhaar; Marksheet,All India,0.332
323,Minority Scholarship 323,NGO,10,20,800000.0,General,UG,31924,2026-07-30,https://scholarships.gov.in/scheme/323,Marksheet; Bank Details; Caste Certificate,Maharashtra,0.131
324,Pre Matric Scholarship 324,State Govt,15,23,250000.0,SC,School,37415,2026-09-18,https://scholarships.gov.in/scheme/324,Income Certificate; Aadhaar; Marksheet; Bank Details,Delhi,0.152
325,Education Support Scholarship 325,State Govt,11,26,500000.0,All,School,67579,2026-07-20,https://scholarships.gov.in/scheme/325,Caste Certificate; Income Certificate; Aadhaar; Marksheet,All India,0.274
326,Women Empowerment Scholarship 326,Central Govt,13,31,800000.0,All,School,56575,2026-07-18,https://scholarships.gov.in/scheme/326,Marksheet; Aadhaar; Caste Certificate; Bank Details,Delhi,0.23
327,Pre Matric Scholarship 327,State Govt,14,18,800000.0,ST,PG,46317,2026-06-17,https://scholarships.gov.in/scheme/327,Caste Certificate; Bank Details; Aadhaar; Income Certificate,Tamil Nadu,0.19
328,Merit Scholarship 328,Central Govt,16,26,250000.0,OBC,UG,66408,2026-07-28,https://scholarships.gov.in/scheme/328,Aadhaar; Caste Certificate; Income Certificate,Tamil Nadu,0.269
329,Talent Scholarship 329,Private Trust,13,34,500000.0,SC,School,71486,2026-04-12,https://scholarships.gov.in/scheme/329,Marksheet; Aadhaar; Income Certificate; Caste Certificate,All India,0.322
330,Minority Scholarship 330,State Govt,13,30,500000.0,SC,PG,23942,2026-08-15,https://scholarships.gov.in/scheme/330,Caste Certificate; Marksheet; Income Certificate,Karnataka,0.099
331,Higher Education Scholarship 331,NGO,11,34,500000.0,ST,School,102257,2026-05-16,https://scholarships.gov.in/scheme/331,Caste Certificate; Bank Details; Income Certificate,Karnataka,0.418
332,Education Support Scholarship 332,State Govt,15,27,350000.0,SC,UG,19324,2026-04-17,https://scholarships.gov.in/scheme/332,Aadhaar; Marksheet; Bank Details; Caste Certificate,All India,0.102
333,Merit Scholarship 333,State Govt,13,27,800000.0,All,PG,111056,2026-08-30,https://scholarships.gov.in/scheme/333,Marksheet; Aadhaar; Bank Details; Caste Certificate,Maharashtra,0.447
334,Pre Matric Scholarship 334,Private Trust,15,20,250000.0,SC,School,27278,2026-09-25,https://scholarships.gov.in/scheme/334,Bank Details; Marksheet,Maharashtra,0.111
335,Rural Development Scholarship 335,Private Trust,16,29,500000.0,OBC,PG,91826,2026-09-02,https://scholarships.gov.in/scheme/335,Aadhaar; Bank Details,All India,0.37
336,Higher Education Scholarship 336,State Govt,17,26,100000.0,All,School,53089,2026-07-19,https://scholarships.gov.in/scheme/336,Marksheet; Bank Details; Income Certificate; Caste Certificate,Maharashtra,0.216
337,Merit Scholarship 337,State Govt,12,23,800000.0,ST,School,5000,2026-07-11,https://scholarships.gov.in/scheme/337,Income Certificate; Bank Details; Marksheet; Caste Certificate,Tamil Nadu,0.024
338,Women Empowerment Scholarship 338,NGO,13,31,350000.0,General,School,25774,2026-07-08,https://scholarships.gov.in/scheme/338,Aadhaar; Caste Certificate,Karnataka,0.107
339,Post Matric Scholarship 339,NGO,16,22,250000.0,ST,PG,5000,2026-04-25,https://scholarships.gov.in/scheme/339,Aadhaar; Income Certificate; Marksheet,Tamil Nadu,0.037
340,Talent Scholarship 340,State Govt,10,30,800000.0,All,PG,5000,2026-07-10,https://scholarships.gov.in/scheme/340,Income Certificate; Bank Details,Karnataka,0.024
341,Education Support Scholarship 341,Private Trust,13,16,500000.0,SC,School,72360,2026-09-14,https://scholarships.gov.in/scheme/341,Marksheet; Aadhaar; Bank Details,Tamil Nadu,0.292
342,Minority Scholarship 342,Private Trust,16,27,800000.0,OBC,School,38844,2026-07-29,https://scholarships.gov.in/scheme/342,Income Certificate; Marksheet; Caste Certificate,Maharashtra,0.159
343,Education Support Scholarship 343,NGO,15,28,100000.0,General,School,19825,2026-04-26,https://scholarships.gov.in/scheme/343,Income Certificate; Aadhaar; Bank Details; Caste Certificate,Karnataka,0.095
344,Minority Scholarship 344,Private Trust,10,14,350000.0,SC,UG,5000,2026-05-01,https://scholarships.gov.in/scheme/344,Bank Details; Income Certificate; Marksheet,All India,0.033
345,Excellence Scholarship 345,Private Trust,16,27,250000.0,All,PG,54685,2026-05-16,https://scholarships.gov.in/scheme/345,Bank Details; Income Certificate; Aadhaar,Maharashtra,0.208
346,Women Empowerment Scholarship 346,Private Trust,15,31,250000.0,All,PG,31255,2026-04-19,https://scholarships.gov.in/scheme/346,Aadhaar; Income Certificate; Marksheet; Bank Details,Karnataka,0.147
347,Women Empowerment Scholarship 347,Private Trust,10,31,500000.0,All,UG,5332,2026-08-06,https://scholarships.gov.in/scheme/347,Income Certificate; Marksheet,All India,0.024
348,Excellence Scholarship 348,Private Trust,10,13,350000.0,OBC,School,49576,2026-09-15,https://scholarships.gov.in/scheme/348,Income Certificate; Caste Certificate,Maharashtra,0.201
349,Post Matric Scholarship 349,Central Govt,14,16,350000.0,ST,School,25968,2026-05-20,https://scholarships.gov.in/scheme/349,Aadhaar; Marksheet; Caste Certificate; Income Certificate,Tamil Nadu,0.112
350,Education Support Scholarship 350,State Govt,16,28,100000.0,SC,School,50395,2026-04-15,https://scholarships.gov.in/scheme/350,Marksheet; Income Certificate; Bank Details; Aadhaar,Delhi,0.23
351,Minority Scholarship 351,NGO,15,30,100000.0,SC,School,22260,2026-06-20,https://scholarships.gov.in/scheme/351,Marksheet; Aadhaar; Bank Details,Maharashtra,0.094
352,Talent Scholarship 352,Private Trust,10,12,100000.0,ST,UG,5000,2026-08-16,https://scholarships.gov.in/scheme/352,Aadhaar; Bank Details; Caste Certificate; Marksheet,Tamil Nadu,0.023
353,Women Empowerment Scholarship 353,Private Trust,13,15,800000.0,All,UG,17739,2026-05-03,https://scholarships.gov.in/scheme/353,Aadhaar; Income Certificate,Delhi,0.083
354,Higher Education Scholarship 354,Central Govt,12,18,800000.0,General,School,5000,2026-09-27,https://scholarships.gov.in/scheme/354,Marksheet; Caste Certificate,Tamil Nadu,0.022
355,Higher Education Scholarship 355,NGO,13,19,350000.0,OBC,UG,61216,2026-05-31,https://scholarships.gov.in/scheme/355,Marksheet; Bank Details; Aadhaar; Income Certificate,Tamil Nadu,0.252
356,Talent Scholarship 356,NGO,16,23,100000.0,All,UG,69108,2026-07-22,https://scholarships.gov.in/scheme/356,Aadhaar; Bank Details; Income Certificate; Marksheet,Karnataka,0.28
357,Pre Matric Scholarship 357,NGO,14,33,800000.0,All,UG,5000,2026-06-03,https://scholarships.gov.in/scheme/357,Bank Details; Aadhaar,Karnataka,0.026
358,Minority Scholarship 358,NGO,10,28,500000.0,SC,School,52989,2026-04-17,https://scholarships.gov.in/scheme/358,Aadhaar; Income Certificate; Bank Details,Tamil Nadu,0.261
359,Excellence Scholarship 359,NGO,13,32,100000.0,ST,UG,44180,2026-05-14,https://scholarships.gov.in/scheme/359,Marksheet; Aadhaar; Income Certificate; Caste Certificate,Tamil Nadu,0.186
360,Post Matric Scholarship 360,Private Trust,17,33,500000.0,All,PG,53576,2026-09-23,https://scholarships.gov.in/scheme/360,Caste Certificate; Aadhaar; Marksheet,All India,0.217
361,Minority Scholarship 361,State Govt,16,29,800000.0,ST,UG,8033,2026-08-09,https://scholarships.gov.in/scheme/361,Income Certificate; Bank Details,Tamil Nadu,0.035
362,Excellence Scholarship 362,Central Govt,13,30,500000.0,ST,School,42754,2026-08-07,https://scholarships.gov.in/scheme/362,Marksheet; Bank Details; Aadhaar; Caste Certificate,Maharashtra,0.174
363,Minority Scholarship 363,Central Govt,17,20,800000.0,ST,PG,57999,2026-09-09,https://scholarships.gov.in/scheme/363,Caste Certificate; Bank Details; Aadhaar,Delhi,0.234
364,Merit Scholarship 364,NGO,14,30,350000.0,OBC,UG,15697,2026-06-30,https://scholarships.gov.in/scheme/364,Marksheet; Income Certificate; Aadhaar; Caste Certificate,All India,0.067
365,Women Empowerment Scholarship 365,Private Trust,11,13,100000.0,General,School,39073,2026-08-28,https://scholarships.gov.in/scheme/365,Income Certificate; Bank Details; Marksheet,All India,0.159
366,Women Empowerment Scholarship 366,Private Trust,17,33,350000.0,ST,School,100102,2026-07-27,https://scholarships.gov.in/scheme/366,Caste Certificate; Bank Details; Income Certificate; Marksheet,Delhi,0.404
367,Pre Matric Scholarship 367,Central Govt,17,27,100000.0,SC,PG,73165,2026-08-30,https://scholarships.gov.in/scheme/367,Caste Certificate; Marksheet; Income Certificate; Aadhaar,Maharashtra,0.295
368,Post Matric Scholarship 368,Private Trust,17,32,500000.0,SC,School,75610,2026-05-28,https://scholarships.gov.in/scheme/368,Bank Details; Aadhaar,Delhi,0.309
369,Talent Scholarship 369,NGO,10,13,250000.0,OBC,UG,41882,2026-04-18,https://scholarships.gov.in/scheme/369,Bank Details; Marksheet,All India,0.176
370,Higher Education Scholarship 370,NGO,14,28,100000.0,General,School,49862,2026-09-11,https://scholarships.gov.in/scheme/370,Aadhaar; Bank Details,Maharashtra,0.202
371,Rural Development Scholarship 371,Central Govt,12,17,250000.0,SC,School,76695,2026-08-15,https://scholarships.gov.in/scheme/371,Income Certificate; Bank Details; Marksheet,All India,0.31
372,Post Matric Scholarship 372,Central Govt,12,19,350000.0,General,School,60827,2026-06-26,https://scholarships.gov.in/scheme/372,Caste Certificate; Bank Details,Tamil Nadu,0.248
373,Post Matric Scholarship 373,Central Govt,10,34,350000.0,ST,School,78692,2026-07-02,https://scholarships.gov.in/scheme/373,Income Certificate; Aadhaar; Marksheet,All India,0.319
374,Post Matric Scholarship 374,State Govt,15,23,800000.0,All,UG,32158,2026-07-03,https://scholarships.gov.in/scheme/374,Aadhaar; Marksheet,All India,0.133
375,Women Empowerment Scholarship 375,Private Trust,16,18,350000.0,ST,PG,5000,2026-09-01,https://scholarships.gov.in/scheme/375,Aadhaar; Marksheet; Caste Certificate; Bank Details,Tamil Nadu,0.023
376,Education Support Scholarship 376,Private Trust,13,15,500000.0,ST,School,5000,2026-05-24,https://scholarships.gov.in/scheme/376,Bank Details; Caste Certificate,Tamil Nadu,0.028
377,Excellence Scholarship 377,Private Trust,12,25,500000.0,OBC,UG,41250,2026-07-24,https://scholarships.gov.in/scheme/377,Aadhaar; Income Certificate; Bank Details,Tamil Nadu,0.169
378,Pre Matric Scholarship 378,NGO,11,14,250000.0,ST,PG,33028,2026-09-26,https://scholarships.gov.in/scheme/378,Income Certificate; Aadhaar,Delhi,0.134
379,Minority Scholarship 379,Private Trust,12,34,250000.0,OBC,School,41774,2026-09-08,https://scholarships.gov.in/scheme/379,Caste Certificate; Aadhaar,Karnataka,0.17
380,Excellence Scholarship 380,Central Govt,14,27,800000.0,OBC,School,73783,2026-08-16,https://scholarships.gov.in/scheme/380,Bank Details; Caste Certificate; Marksheet,Maharashtra,0.298
381,Pre Matric Scholarship 381,State Govt,17,23,250000.0,SC,PG,35500,2026-05-18,https://scholarships.gov.in/scheme/381,Caste Certificate; Marksheet; Income Certificate; Aadhaar,Maharashtra,0.151
382,Post Matric Scholarship 382,Central Govt,15,30,,SC,UG,5000,2026-07-22,https://scholarships.gov.in/scheme/382,Aadhaar; Bank Details; Income Certificate; Marksheet,Delhi,0.024
383,Merit Scholarship 383,NGO,12,26,,ST,PG,31882,2026-06-24,https://scholarships.gov.in/scheme/383,Bank Details; Caste Certificate; Income Certificate; Marksheet,Maharashtra,0.132
384,Higher Education Scholarship 384,NGO,14,30,250000.0,OBC,PG,77854,2026-04-30,https://scholarships.gov.in/scheme/384,Bank Details; Marksheet; Income Certificate; Caste Certificate,Delhi,0.325
385,Rural Development Scholarship 385,Central Govt,12,28,350000.0,ST,UG,37093,2026-04-24,https://scholarships.gov.in/scheme/385,Caste Certificate; Income Certificate; Bank Details,Maharashtra,0.166
386,Rural Development Scholarship 386,Private Trust,15,20,350000.0,OBC,UG,5000,2026-07-31,https://scholarships.gov.in/scheme/386,Aadhaar; Bank Details; Income Certificate,Maharashtra,0.023
387,Post Matric Scholarship 387,Central Govt,12,28,800000.0,All,UG,113673,2026-07-20,https://scholarships.gov.in/scheme/387,Marksheet; Bank Details; Aadhaar,Tamil Nadu,0.458
388,Women Empowerment Scholarship 388,State Govt,11,14,100000.0,All,PG,69366,2026-06-21,https://scholarships.gov.in/scheme/388,Caste Certificate; Bank Details; Income Certificate,All India,0.282
389,Post Matric Scholarship 389,State Govt,10,22,100000.0,ST,School,23790,2026-05-31,https://scholarships.gov.in/scheme/389,Bank Details; Income Certificate,Maharashtra,0.102
390,Education Support Scholarship 390,Private Trust,11,22,500000.0,All,PG,55406,2026-05-11,https://scholarships.gov.in/scheme/390,Bank Details; Marksheet; Caste Certificate,All India,0.232
391,Women Empowerment Scholarship 391,Private Trust,16,18,250000.0,ST,PG,54310,2026-05-22,https://scholarships.gov.in/scheme/391,Marksheet; Aadhaar; Caste Certificate; Income Certificate,Maharashtra,0.225
392,Rural Development Scholarship 392,Central Govt,14,24,350000.0,General,UG,5000,2026-05-01,https://scholarships.gov.in/scheme/392,Marksheet; Aadhaar,Delhi,0.033
393,Minority Scholarship 393,Central Govt,16,27,350000.0,OBC,School,26111,2026-09-22,https://scholarships.gov.in/scheme/393,Income Certificate; Bank Details,All India,0.107
394,Excellence Scholarship 394,Central Govt,11,17,800000.0,General,PG,7557,2026-06-12,https://scholarships.gov.in/scheme/394,Income Certificate; Aadhaar; Caste Certificate,Tamil Nadu,0.036
395,Higher Education Scholarship 395,State Govt,17,21,350000.0,ST,School,53066,2026-07-03,https://scholarships.gov.in/scheme/395,Marksheet; Bank Details; Aadhaar,All India,0.217
396,Education Support Scholarship 396,State Govt,12,17,250000.0,ST,PG,66767,2026-06-13,https://scholarships.gov.in/scheme/396,Aadhaar; Marksheet; Caste Certificate; Bank Details,Tamil Nadu,0.273
397,Post Matric Scholarship 397,Central Govt,10,14,100000.0,SC,School,37592,2026-09-01,https://scholarships.gov.in/scheme/397,Marksheet; Aadhaar,All India,0.153
398,Rural Development Scholarship 398,State Govt,15,32,100000.0,General,School,72798,2026-05-12,https://scholarships.gov.in/scheme/398,Bank Details; Marksheet; Aadhaar; Income Certificate,Maharashtra,0.301
399,Post Matric Scholarship 399,Private Trust,12,20,250000.0,ST,School,5000,2026-06-22,https://scholarships.gov.in/scheme/399,Caste Certificate; Income Certificate,All India,0.025
400,Higher Education Scholarship 400,State Govt,14,17,250000.0,All,School,48032,2026-06-08,https://scholarships.gov.in/scheme/400,Aadhaar; Marksheet; Income Certificate; Bank Details,Tamil Nadu,0.198
401,Pre Matric Scholarship 401,Private Trust,16,20,250000.0,General,UG,5000,2026-09-21,https://scholarships.gov.in/scheme/401,Marksheet; Bank Details,Tamil Nadu,0.022
402,Merit Scholarship 402,State Govt,12,20,100000.0,General,UG,5000,2026-04-29,https://scholarships.gov.in/scheme/402,Caste Certificate; Marksheet; Income Certificate,Maharashtra,0.034
403,Merit Scholarship 403,State Govt,12,17,350000.0,SC,PG,57069,2026-09-19,https://scholarships.gov.in/scheme/403,Bank Details; Marksheet,Karnataka,0.231
404,Minority Scholarship 404,Central Govt,15,20,100000.0,All,PG,88851,2026-07-11,https://scholarships.gov.in/scheme/404,Caste Certificate; Aadhaar; Bank Details; Marksheet,All India,0.359
405,Pre Matric Scholarship 405,State Govt,10,19,500000.0,OBC,School,5000,2026-04-18,https://scholarships.gov.in/scheme/405,Aadhaar; Bank Details,Maharashtra,0.044
406,Minority Scholarship 406,Central Govt,13,16,350000.0,All,School,5000,2026-04-10,https://scholarships.gov.in/scheme/406,Marksheet; Bank Details; Aadhaar; Income Certificate,Delhi,0.064
407,Post Matric Scholarship 407,Central Govt,17,23,500000.0,SC,UG,58938,2026-06-11,https://scholarships.gov.in/scheme/407,Caste Certificate; Income Certificate; Marksheet,All India,0.241
408,Pre Matric Scholarship 408,Central Govt,13,17,350000.0,General,UG,5000,2026-06-30,https://scholarships.gov.in/scheme/408,Aadhaar; Caste Certificate; Marksheet,All India,0.024
409,Minority Scholarship 409,NGO,11,24,250000.0,General,School,60849,2026-07-12,https://scholarships.gov.in/scheme/409,Aadhaar; Bank Details; Income Certificate; Caste Certificate,All India,0.247
410,Post Matric Scholarship 410,Private Trust,15,24,350000.0,General,UG,98396,2026-09-02,https://scholarships.gov.in/scheme/410,Marksheet; Caste Certificate; Aadhaar,All India,0.396
411,Merit Scholarship 411,Private Trust,13,19,100000.0,SC,School,56162,2026-05-30,https://scholarships.gov.in/scheme/411,Caste Certificate; Income Certificate; Bank Details,Tamil Nadu,0.231
412,Talent Scholarship 412,State Govt,15,32,250000.0,SC,School,12379,2026-04-17,https://scholarships.gov.in/scheme/412,Caste Certificate; Bank Details,All India,0.075
413,Talent Scholarship 413,Central Govt,17,30,250000.0,SC,School,39399,2026-05-05,https://scholarships.gov.in/scheme/413,Bank Details; Marksheet,All India,0.169
414,Rural Development Scholarship 414,Private Trust,16,25,800000.0,All,UG,51508,2026-08-01,https://scholarships.gov.in/scheme/414,Bank Details; Caste Certificate,Tamil Nadu,0.209
415,Minority Scholarship 415,Central Govt,13,22,350000.0,OBC,UG,17401,2026-05-05,https://scholarships.gov.in/scheme/415,Marksheet; Aadhaar,Tamil Nadu,0.081
416,Higher Education Scholarship 416,NGO,13,20,500000.0,ST,PG,63679,2026-09-02,https://scholarships.gov.in/scheme/416,Caste Certificate; Marksheet; Bank Details,Karnataka,0.257
417,Rural Development Scholarship 417,NGO,17,25,350000.0,ST,PG,48941,2026-05-13,https://scholarships.gov.in/scheme/417,Aadhaar; Caste Certificate; Income Certificate,Karnataka,0.205
418,Minority Scholarship 418,State Govt,14,29,100000.0,All,UG,70057,2026-05-11,https://scholarships.gov.in/scheme/418,Marksheet; Income Certificate,Delhi,0.29
419,Merit Scholarship 419,NGO,16,30,350000.0,SC,School,18871,2026-06-19,https://scholarships.gov.in/scheme/419,Marksheet; Income Certificate; Aadhaar; Caste Certificate,All India,0.081
420,Education Support Scholarship 420,NGO,13,18,350000.0,ST,School,36116,2026-05-30,https://scholarships.gov.in/scheme/420,Aadhaar; Income Certificate; Marksheet,Karnataka,0.138
421,Excellence Scholarship 421,Central Govt,12,24,100000.0,ST,UG,90690,2026-04-17,https://scholarships.gov.in/scheme/421,Bank Details; Caste Certificate; Marksheet; Income Certificate,Karnataka,0.388
422,Excellence Scholarship 422,Central Govt,10,21,350000.0,ST,School,96791,2026-09-18,https://scholarships.gov.in/scheme/422,Caste Certificate; Aadhaar; Income Certificate,Maharashtra,0.39
423,Education Support Scholarship 423,NGO,14,18,100000.0,General,UG,51191,2026-08-17,https://scholarships.gov.in/scheme/423,Marksheet; Bank Details; Caste Certificate; Income Certificate,Delhi,0.208
424,Education Support Scholarship 424,Central Govt,17,25,500000.0,ST,School,100058,2026-04-19,https://scholarships.gov.in/scheme/424,Caste Certificate; Aadhaar,Tamil Nadu,0.422
425,Higher Education Scholarship 425,State Govt,16,20,100000.0,SC,UG,56095,2026-04-25,https://scholarships.gov.in/scheme/425,Caste Certificate; Marksheet; Aadhaar,All India,0.241
426,Excellence Scholarship 426,Private Trust,17,28,100000.0,OBC,School,13045,2026-04-30,https://scholarships.gov.in/scheme/426,Caste Certificate; Income Certificate; Bank Details,Tamil Nadu,0.066
427,Minority Scholarship 427,Central Govt,10,33,800000.0,OBC,PG,67371,2026-06-09,https://scholarships.gov.in/scheme/427,Bank Details; Income Certificate; Caste Certificate,Karnataka,0.275
428,Rural Development Scholarship 428,Central Govt,17,24,100000.0,General,School,5000,2026-08-08,https://scholarships.gov.in/scheme/428,Marksheet; Aadhaar; Caste Certificate; Bank Details,Karnataka,0.023
429,Merit Scholarship 429,Central Govt,12,22,500000.0,OBC,UG,55308,2026-08-19,https://scholarships.gov.in/scheme/429,Caste Certificate; Income Certificate,Karnataka,0.224
430,Talent Scholarship 430,Central Govt,11,16,250000.0,OBC,UG,69934,2026-04-30,https://scholarships.gov.in/scheme/430,Aadhaar; Caste Certificate; Income Certificate; Bank Details,All India,0.294
431,Rural Development Scholarship 431,State Govt,13,27,250000.0,All,UG,55232,2026-07-10,https://scholarships.gov.in/scheme/431,Caste Certificate; Aadhaar,All India,0.225
432,Education Support Scholarship 432,State Govt,16,31,100000.0,General,School,41619,2026-04-25,https://scholarships.gov.in/scheme/432,Marksheet; Aadhaar; Bank Details,Tamil Nadu,0.183
433,Women Empowerment Scholarship 433,Private Trust,14,21,100000.0,OBC,PG,5000,2026-05-06,https://scholarships.gov.in/scheme/433,Bank Details; Caste Certificate; Marksheet; Income Certificate,Tamil Nadu,0.031
434,Pre Matric Scholarship 434,NGO,14,34,100000.0,SC,UG,77693,2026-09-14,https://scholarships.gov.in/scheme/434,Caste Certificate; Marksheet; Income Certificate,Karnataka,0.313
435,Pre Matric Scholarship 435,Private Trust,10,13,250000.0,All,PG,89184,2026-09-11,https://scholarships.gov.in/scheme/435,Aadhaar; Bank Details; Marksheet; Income Certificate,Karnataka,0.359
436,Pre Matric Scholarship 436,Central Govt,10,34,350000.0,OBC,UG,37021,2026-06-27,https://scholarships.gov.in/scheme/436,Bank Details; Aadhaar,Maharashtra,0.153
437,Talent Scholarship 437,NGO,12,34,800000.0,General,School,28983,2026-07-29,https://scholarships.gov.in/scheme/437,Income Certificate; Caste Certificate; Marksheet; Aadhaar,All India,0.119
438,Minority Scholarship 438,State Govt,17,34,800000.0,All,UG,18797,2026-07-11,https://scholarships.gov.in/scheme/438,Income Certificate; Marksheet; Aadhaar; Bank Details,Karnataka,0.079
